ward_id,MAE,RMSE,MAPE
W036,816.7946596114529,884.6149848858649,165.0371367297441
W037,384.100083132176,462.8400530258695,63.85392177109449
W038,1532.8276735050486,1888.4460526384726,40.31266137958365
W039,2682.784204778795,2833.1776239895307,129.6129273077774
W040,731.4142974905476,1130.8010510861031,42.561791176491155
W041,2554.6587932357093,2728.8969498200036,109.78701808601421
W042,1429.8052662840391,1719.318589933988,90.72987478862396
W043,1393.9809424713958,1526.4559685167353,161.61071774570323
W044,5753.495811419046,6545.454831853544,209.150902512635
W045,3201.10870081346,3731.030742369124,80.24878557891246
W046,866.6075024734215,947.4327400955119,114.81917496776519
W047,3613.7385272027204,4841.004212310922,92.41354521349675
W048,1254.4135271800678,1556.077188094689,86.30162650033549
W049,2883.2486842912326,2994.6023392288444,193.31886054185662
W050,532.532685883749,634.2474294861307,83.70204316218971
W051,3936.440450330978,4128.6856481408,203.2653342420702
W052,1520.3236695910425,1826.2820660654465,97.36086933197609
W053,1779.0262778569004,2327.4910380990773,52.85837855324553
W054,3410.3018450188633,4123.56942975286,98.49213007925529
W055,2239.4807568233414,2425.97929648365,189.76987440359778
W056,3400.25425829736,4037.45913145246,117.5073371359488
W057,2498.684474751794,2818.150418674096,88.74123716870147
W058,661.0091609623611,703.9943856122056,180.78227971602158
W059,808.054313819126,867.5120693420321,147.8057923243427
W060,1991.5373638751034,2644.566851697641,62.21141626669109
W061,2140.4797244393426,2256.896230999825,122.91405374003517
W062,269.22845621089846,395.9699226633372,41.37013253609319
W063,1187.8829964458876,1316.9109796401517,68.55054133010327
W064,5099.471197104031,5474.989289091981,183.526238809205
W065,1534.8842322891485,1670.1875338805644,101.63515703522815
W066,2463.9281100667517,2791.8223300985205,120.44073841280947
W067,1752.334980989431,1824.4547944993658,165.02348383033797
W068,697.704903869188,740.397129418483,87.50520733382433
W069,610.7184816081559,715.1499752371103,73.6744308425813
W070,106.18065630828421,139.80329511086939,30.540924713232993
W071,6066.545357178174,6385.882879310219,209.8030735861539
W072,3340.6480652748364,3719.9472065896234,165.34084261186445
W073,2702.0821891294177,3198.8509220233354,86.1163575646101
W074,4090.9922882085325,4458.842184293613,116.65232715871781
W075,2662.5923679610337,2820.805237245799,136.30777461325633
W076,1664.9522099617097,2103.594065969956,64.05369872140312
W077,3892.6505081065225,4285.289941958804,114.33070192446115
W078,3171.160298294035,3367.187905202512,149.03383334152605
W079,430.1140611116354,548.0226447880397,84.8922544052895
W080,1258.462409292075,1577.2598683045096,56.315384988322336
W081,1342.7846772884525,1562.5622545763672,101.19905110515252
W082,2375.3944016334754,2592.336322984381,108.03249865881655
W083,1598.982687208516,1834.8431825760993,81.61088503756532
W084,1241.7385666105745,1474.3105885262346,106.95292653491076
W085,1397.7751150235042,1537.1406130663484,99.04255695521165
W086,1136.6772357878353,1275.1186466696047,112.43461773676194
W087,3527.2682944800504,3855.3580553009306,197.5235254757601
W088,1401.7668856835483,1530.9221131731317,105.31502949251441
W089,2063.8197593903647,2396.504564857913,107.40728906993063
W090,1912.682082805176,2368.4310884753672,53.09233245229778
W091,402.90050448469793,499.0218687058047,61.33061497872886
W092,3660.621047173121,4204.329460529551,102.08315036326665
W093,4334.444218249732,4607.984875451482,183.69803585076278
W094,1564.0202974117976,2219.605060756572,61.288091675489554
W095,263.1162763173626,379.965939737735,50.25788823518498
W096,598.5384745482166,671.9054247223581,97.28945624582943
W097,685.9200793214627,745.0004962837454,91.74477291477831
W098,1008.284024938916,1099.4781731740072,122.82967208609305
W099,1466.9433543296473,1600.6080813234382,68.42596199141745
W100,3045.1293905789985,3445.9696704927555,135.52096978207499
W101,3262.0508068890795,3589.1799091669404,86.77636621300294
W102,2705.2654777633643,2854.4391788360595,170.69577986830794
W103,1825.8615602650807,2058.6412834581593,107.46853166950497
